type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Noun,κλῆσις,"κλῆσις, -εως, ἡ","a (divine) call, invitation, summons",11,50,jkgrir,Oct-15,,,,,,
Verb,κλίνω,κλίνω,"to cause to bend, bow",11,50,jkimx,Oct-15,,,,,,
Noun,κράβαττος,"κράβαττος, -ου, ὁ","a mattress, pallet, bed",11,50,jqabassor,Oct-15,,,,,,
Noun,λίμνη,"λίμνη, -ης, ἡ",a lake,11,50,kilmg,Oct-15,,,,,,
Verb,μετρέω,μετρέω,to measure,11,50,lesqex,Oct-15,,,,,,
Noun,νεανίσκος,"νεανίσκος, -ου, ὁ",a youth,11,50,meamirjor,Oct-15,,,,,,
Noun,νόσος,"νόσος, -ου, ἡ",a disease,11,50,moror,Oct-15,,,,,,
Adverb,ὁμοθυμαδόν,ὁμοθυμαδόν,with one accord,11,50,olohtladom,Oct-15,,,,,,
Noun,πηγή,"πηγή, -ῆς, ἡ","a spring, fountain",11,50,pgcg,Oct-15,,,,,,
Verb,ποιμαίνω,ποιμαίνω,"to shepherd, rule",11,50,poilaimx,Oct-15,,,,,,
Noun,πρᾶγμα,"πρᾶγμα, -τος, τό","a deed, matter, thing",11,50,pqacla,Oct-15,,,,,,
Noun,πραΰτης,"πραΰτης, -ητος, ἡ","gentleness, humility, courtesy",11,50,pqatsgr,Oct-15,,,,,,
Adjective,πρότερος,"πρότερος, -α, -ον",former; before (as adverb),11,50,pqoseqor,Oct-15,,,,,,
Noun,σάλπιγξ,"σάλπιγξ, -ιγγος, ἡ",a trumpet,11,50,rakpicn,Oct-15,,,,,,
Proper Noun,Σαμάρεια,"Σαμάρεια, -ας, ἡ",Samaria,11,50,ralaqeia,Oct-15,,,,,,
Noun,σπλάγχνον,"σπλάγχνον, -ου, τό","bowels, heart, tender mercies, compassion ",11,50,rpkacvmom,Oct-15,,,,,,
Verb,σπουδάζω,σπουδάζω,"to hasten, be eager",11,50,rpotdafx,Oct-15,,,,,,
Adjective,συγγενής,"συγγενής, -οῦς","kindred; a relative, kinsman (as a noun)",11,50,rtccemgr,Oct-15,,,,,,
Adverb,σφόδρα,σφόδρα,exceedingly,11,50,ruodqa,Oct-15,,,,,,
Verb,σχίζω,σχίζω,"to split, tear",11,50,rvifx,Oct-15,,,,,,
Verb,τελευτάω,τελευτάω,to die,11,50,seketsax,Oct-15,,,,,,
Adjective,τριάκοντα,τριάκοντα,thirty (indeclinable),11,50,sqiajomsa,Oct-15,,,,,,
Proper Noun,Τύρος,"Τύρος, -ου, ἡ",Tyre,11,50,stqor,Oct-15,,,,,,
Adjective,ὑγιής,"ὑγιής, -ές","whole, healthy, well",11,50,tcigr,Oct-15,,,,,,
Adjective,ὑμέτερος,"ὑμέτερος, -α, -ον",your,11,50,tleseqor,Oct-15,,,,,,
Preposition,ὑποκάτω,ὑποκάτω,"under, below, down at (gen)",11,50,tpojasx,Oct-15,,,,,,
Adjective,ὑψηλός,"ὑψηλός, -ή, -όν",high,11,50,twgkor,Oct-15,,,,,,
Verb,φυτεύω,φυτεύω,to plant,11,50,utsetx,Oct-15,,,,,,
Verb,φωτίζω,φωτίζω,"to give light, enlighten",11,50,uxsifx,Oct-15,,,,,,
Adjective,χίλιοι,"χίλιοι, -αι, -α",a thousand,11,50,vikioi,Oct-15,,,,,,
Noun,χιτών,"χιτών, -ῶνος, ὁ",a tunic,11,50,visxm,Oct-15,,,,,,
Verb,χράω,χράομαι,to use,11,50,vqax,Oct-15,,,,,,
Noun,ψευδοπροφήτης,"ψευδοπροφήτης, -ου, ὁ",a false prophet,11,50,wetdopqougsgr,Oct-15,,,,,,
Noun,ἁγιασμός,"ἁγιασμός, -οῦ, ὁ",sanctification,10,50,aciarlor,Oct-15,,,,,,
Proper Noun,ᾍδης,"ᾅδης, -ου, ὁ",Hades,10,50,adgr,Oct-15,,,,,,
Adjective,ἀδύνατος,"ἀδύνατος, -ον","incapable, impossible",10,50,adtmasor,Oct-15,,,,,,
Noun,ἀκαθαρσία,"ἀκαθαρσία, -ας, ἡ","uncleanness, impurity",10,50,ajahaqria,Oct-15,,,,,,
Adverb,ἅμα,ἅμα,at the same time; together with (dat),10,50,ala,Oct-15,,,,,,
Verb,ἀναφέρω,ἀναφέρω,"to bring up, offer",10,50,amaueqx,Oct-15,,,,,,
Verb,ἀπολαμβάνω,ἀπολαμβάνω,to receive from,10,50,apokalbamx,Oct-15,,,,,,
Proper Noun,Ἀπολλῶς,Ἀπολλῶς,Apollos,10,50,apokkxr,Oct-15,,,,,,
Verb,ἀπολογέομαι,ἀπολογέομαι,to defend one's self,10,50,apokoceolai,Oct-15,,,,,,
Noun,ἀπολύτρωσις,"ἀπολύτρωσις, -εως, ἡ",redemption,10,50,apoktsqxrir,Oct-15,,,,,,
Noun,ἀσέλγεια,"ἀσέλγεια, -ας, ἡ","licentiousness, debauchery, sensuality",10,50,arekceia,Oct-15,,,,,,
Noun,ἀσπασμός,"ἀσπασμός, -οῦ, ὁ",a greeting,10,50,arparlor,Oct-15,,,,,,
Verb,ἀφαιρέω,ἀφαιρέω,to take away,10,50,auaiqex,Oct-15,,,,,,
Verb,ἀφορίζω,ἀφορίζω,"to separate, set apart",10,50,auoqifx,Oct-15,,,,,,
Proper Noun,Ἀχαΐα,"Ἀχαΐα, -ας, ἡ",Achaia,10,50,avaia,Oct-15,,,,,,
Noun,βίβλος,"βίβλος, -ου, ἡ",a book,10,50,bibkor,Oct-15,,,,,,
Noun,βίος,"βίος, -ου, ὁ",life,10,50,bior,Oct-15,,,,,,
Noun,δάκρυον,"δάκρυον, -ου, τό",a tear,10,50,dajqtom,Oct-15,,,,,,
Noun,δεσπότης,"δεσπότης, -ου, ὁ","a master, lord",10,50,derposgr,Oct-15,,,,,,
Adverb,δημόσιος,"δημόσιος, -α, -ον",public,10,50,dglorior,Oct-15,,,,,,
Noun,δικαίωμα,"δικαίωμα, -τος, τό","regulation, righteous deed",10,50,dijaixla,Oct-15,,,,,,
Noun,διωγμός,"διωγμός, -οῦ, ὁ",persecution,10,50,dixclor,Oct-15,,,,,,
Verb,ἐγκαταλείπω,ἐγκαταλείπω,"to leave behind, forsake, abandon",10,50,ecjasakeipx,Oct-15,,,,,,
Verb,ἐκκόπτω,ἐκκόπτω,"to cut out, cut off",10,50,ejjopsx,Oct-15,,,,,,
Verb,ἐκπίπτω,ἐκπίπτω,to fall away,10,50,ejpipsx,Oct-15,,,,,,
Verb,ἐμφανίζω,ἐμφανίζω,"to manifest, disclose",10,50,eluamifx,Oct-15,,,,,,
Adjective,ἔνατος,"ἔνατος, -η, -ον",ninth,10,50,emasor,Oct-15,,,,,,
Adjective,ἔνοχος,"ἔνοχος, -ον","involved in, liable, guilty",10,50,emovor,Oct-15,,,,,,
Adverb,ἐντεῦθεν,ἐντεῦθεν,"hence, on each side, thereupon",10,50,emsethem,Oct-15,,,,,,
Verb,ἐξομολογέω,ἐξομολογέω,"to confess, profess",10,50,enolokocex,Oct-15,,,,,,
Conjunction,ἐπειδή,ἐπειδή,"since, because",10,50,epeidg,Oct-15,,,,,,
Verb,ἐπιτάσσω,ἐπιτάσσω,to command,10,50,episarrx,Oct-15,,,,,,
Verb,ἐπιτελέω,ἐπιτελέω,"to complete, perform, finish",10,50,episekex,Oct-15,,,,,,
Verb,θλίβω,θλίβω,"to press, oppress",10,50,hkibx,Oct-15,,,,,,
Proper Noun,Ἰόππη,"Ἰόππη, -ης, ἡ",Joppa,10,50,ioppg,Oct-15,,,,,,
Noun,ἰσχύς,"ἰσχύς, -ύος, ἡ",strength,10,50,irvtr,Oct-15,,,,,,
Adjective,κλητός,"κλητός, -ή, -όν",called,10,50,jkgsor,Oct-15,,,,,,
Noun,κοινωνός,"κοινωνός, -οῦ, ὁ","a partner, sharer",10,50,joimxmor,Oct-15,,,,,,
Verb,κομίζω,κομίζω,to receive,10,50,jolifx,Oct-15,,,,,,
Verb,κοσμέω,κοσμέω,to adorn,10,50,jorlex,Oct-15,,,,,,
Adverb,μακράν,μακράν,far away,10,50,lajqam,Oct-15,,,,,,
Verb,μακροθυμέω,μακροθυμέω,to be patient,10,50,lajqohtlex,Oct-15,,,,,,
Verb,μέλω,μέλει,it is a care,10,50,lekx,Oct-15,,,,,,
Verb,νουθετέω,νουθετέω,"to admonish, exhort",10,50,mothesex,Oct-15,,,,,,
Verb,ξενίζω,ξενίζω,"to entertain (a stranger); to startle, bewilder",10,50,nemifx,Oct-15,,,,,,
Pronoun,ὅδε,"ὅδε, ἥδε, τόδε",this (here),10,50,ode,Oct-15,,,,,,
Noun,οἰκονόμος,"οἰκονόμος, -ου, ὁ",a steward,10,50,oijomolor,Oct-15,,,,,,
Verb,ὀνομάζω,ὀνομάζω,to name,10,50,omolafx,Oct-15,,,,,,
Adverb,ὄντως,ὄντως,"really, indeed",10,50,omsxr,Oct-15,,,,,,
Noun,ὅρκος,"ὅρκος, -ου, ὁ",an oath,10,50,oqjor,Oct-15,,,,,,
Noun,παντοκράτωρ,"παντοκράτωρ, -ορος, ὁ","ruler of all, the Almighty",10,50,pamsojqasxq,Oct-15,,,,,,
Verb,παράγω,παράγω,to pass by,10,50,paqacx,Oct-15,,,,,,
Adjective,παραλυτικός,"παραλυτικός, -οῦ, ὁ",a paralytic,10,50,paqaktsijor,Oct-15,,,,,,
Noun,παρεμβολή,"παρεμβολή, -ῆς, ἡ","a camp, army, fortress",10,50,paqelbokg,Oct-15,,,,,,
Verb,πατάσσω,πατάσσω,to smite,10,50,pasarrx,Oct-15,,,,,,
Verb,πενθέω,πενθέω,to mourn,10,50,pemhex,Oct-15,,,,,,
Noun,περιστερά,"περιστερά, -ᾶς, ἡ",a dove,10,50,peqirseqa,Oct-15,,,,,,
Noun,πλάνη,"πλάνη, -ης, ἡ","a wandering, error",10,50,pkamg,Oct-15,,,,,,
Adjective,πλατύς,"πλατύς, -εῖα, -ύ",broad; street,10,50,pkastr,Oct-15,,,,,,
Noun,πλεονεξία,"πλεονεξία, -ας, ἡ",covetousness,10,50,pkeomenia,Oct-15,,,,,,5
Adjective,ποικίλος,"ποικίλος, -η, -ον","varied, manifold",10,50,poijikor,Oct-15,,,,,,6
Noun,πόρνος,"πόρνος, -ου, ὁ","a fornicator, immoral person",10,50,poqmor,Oct-15,,,,,,3
Verb,προσκαρτερέω,προσκαρτερέω,to continue in or with,10,50,pqorjaqseqex,Oct-15,,,,,,9
Noun,πύλη,"πύλη, -ης, ἡ","a gate, porch",10,50,ptkg,Oct-15,,,,,,7
Verb,σέβω,σέβω,"to reverence, worship",10,50,rebx,Oct-15,,,,,,4
Verb,σιγάω,σιγάω,"to be silent, become silent",10,50,ricax,Oct-15,,,,,,1
Verb,σιωπάω,σιωπάω,to be silent,10,50,rixpax,Oct-15,,,,,,
Noun,στρατηγός,"στρατηγός, -οῦ, ὁ",a commander,10,50,rsqasgcor,Oct-15,,,,,,
Verb,συζητέω,συζητέω,"to discuss, dispute",10,50,rtfgsex,Oct-15,,,,,,
Noun,σύνδουλος,"σύνδουλος, -ου, ὁ",a fellow slave,10,50,rtmdotkor,Oct-15,,,,,,
Verb,σφάζω,σφάζω,to slay,10,50,ruafx,Oct-15,,,,,,
Adjective,ταπεινός,"ταπεινός, -ή, -όν","humble, downcast",10,50,sapeimor,Oct-15,,,,,,
Adjective,τέταρτος,"τέταρτος, -η, -ον",fourth,10,50,sesaqsor,Oct-15,,,,,,
Verb,ὑπαντάω,ὑπαντάω,"to meet, go to meet",10,50,tpamsax,Oct-15,,,,,,
Noun,ὑπόδημα,"ὑπόδημα, -τος, τό","a sandal, shoe",10,50,tpodgla,Oct-15,,,,,,
Verb,φείδομαι,φείδομαι,to spare,10,50,ueidolai,Oct-15,,,,,,
Noun,χρηστότης,"χρηστότης, -ητος, ἡ","goodness, kindness",10,50,vqgrsosgr,Oct-15,,,,,,
Noun,χρυσός,"χρυσός, -οῦ, ὁ",gold,10,50,vqtror,Oct-15,,,,,,
Verb,χωρέω,χωρέω,to make room for; to hold,10,50,vxqex,Oct-15,,,,,,
Noun,χωρίον,"χωρίον, -ου, τό","a place, field",10,50,vxqiom,Oct-15,,,,,,
Noun,ψεῦδος,"ψεῦδος, -ους, τό",a lie,10,50,wetdor,Oct-15,,,,,,8
Noun,ψεύστης,"ψεύστης, -ου, ὁ",a liar,10,50,wetrsgr,Oct-15,,,,,,2
Noun,ἄβυσσος,"ἄβυσσος, -ου, ἡ","boundless, bottomless",9,50,abtrror,9,,,,,,
Verb,ἀγαθοποιέω,ἀγαθοποιέω,"to do good, right",9,50,acahopoiex,9,,,,,,
Proper Noun,Ἀδάμ,"Ἀδάμ, ὁ",Adam,9,50,adal,9,,,,,,
Adjective,ἄζυμος,"ἄζυμος, -ον",unleavened,9,50,aftlor,9,,,,,,
Noun,αἵρεσις,"αἵρεσις, -εως, ἡ","choice, faction, party, sect",9,50,aiqerir,9,,,,,,
Verb,ἀλείφω,ἀλείφω,to anoint,9,50,akeiux,9,,,,,,
Noun,ἄμπελος,"ἄμπελος, -ου, ἡ",vine,9,50,alpekor,9,,,,,,
Verb,ἀναγκάζω,ἀναγκάζω,"to force, compel, urge",9,50,amacjafx,9,,,,,,
Verb,ἀναστρέφω,ἀναστρέφω,to return; to live,9,50,amarsqeux,9,,,,,,
Verb,ἀνατέλλω,ἀνατέλλω,to cause to rise,9,50,amasekkx,9,,,,,,
Adjective,ἄνομος,"ἄνομος, -ον","lawless, without law",9,50,amolor,9,,,,,,
Adverb,ἄνω,ἄνω,"up, above",9,50,amx,9,,,,,,
Noun,ἀπαρχή,"ἀπαρχή, -ῆς, ἡ",the first fruit,9,50,apaqvg,9,,,,,,
Verb,ἀποδοκιμάζω,ἀποδοκιμάζω,to reject,9,50,apodojilafx,9,,,,,,
Verb,ἀποστρέφω,ἀποστρέφω,"to turn away, turn back",9,50,aporsqeux,9,,,,,,
Verb,ἀποτίθημι,ἀποτίθημι,"to put off, lay aside",9,50,aposihgli,9,,,,,,
Adjective,ἄρσην,"ἄρσην, -εν",male,9,50,aqrgm,9,,,,,,
Noun,ἀρχισυνάγωγος,"ἀρχισυνάγωγος, -ου, ὁ",ruler of a synagogue,9,50,aqvirtmacxcor,9,,,,,,
Noun,ἀστραπή,"ἀστραπή, -ῆς, ἡ","lightning, brightness",9,50,arsqapg,9,,,,,,
Verb,βόσκω,βόσκω,to feed,9,50,borjx,9,,,,,,
Noun,γαστήρ,"γαστήρ, -τρός, ἡ",the belly,9,50,carsgq,9,,,,,,
Noun,γνώμη,"γνώμη, -ης, ἡ","purpose, opinion, consent, decision",9,50,cmxlg,9,,,,,,
Noun,γωνία,"γωνία, -ας, ἡ","an angle, a corner",9,50,cxmia,9,,,,,,
Adverb,δεῦρο,δεῦρο,"until now, come here!",9,50,detqo,9,,,,,,
Verb,διασκορπίζω,διασκορπίζω,"to scatter, separate, squander",9,50,diarjoqpifx,9,,,,,,
Verb,διατρίβω,διατρίβω,to continue,9,50,diasqibx,9,,,,,,
Adverb,δωρεάν,δωρεάν,without cost; without cause,9,50,dxqeam,9,,,,,,
Adjective,ἕβδομος,"ἕβδομος, -η, -ον",seventh,9,50,ebdolor,9,,,,,,
Adjective,εἰδωλόθυτος,εἰδωλόθυτος,sacrificed to idols,9,50,eidxkohtsor,9,,,,,,
Noun,ἐκδίκησις,"ἐκδίκησις, -εως, ἡ","vengeance, vindication",9,50,ejdijgrir,9,,,,,,
Proper Noun,Ἐλισάβετ,"Ἐλισάβετ, ἡ",Elizabeth,9,50,ekirabes,9,,,,,,
Verb,ἐντρέπω,ἐντρέπω,"to turn about, to reverence, to put to shame, respect",9,50,emsqepx,9,,,,,,
Adjective,ἑξήκοντα,ἑξήκοντα,sixty,9,50,engjomsa,9,,,,,,
Verb,ἐπέρχομαι,ἐπέρχομαι,to come to or upon,9,50,epeqvolai,9,,,,,,
Verb,ἐπιδίδωμι,ἐπιδίδωμι,to give to,9,50,epididxli,9,,,,,,
Verb,ἐπιποθέω,ἐπιποθέω,to long for,9,50,epipohex,9,,,,,,
Noun,ἔρις,"ἔρις, -ιδος, ἡ",strife,9,50,eqir,9,,,,,,
Adverb,ἔσω,ἔσω,within,9,50,erx,9,,,,,,
Adjective,εὐάρεστος,"εὐάρεστος, -ον",well-pleasing,9,50,etaqersor,9,,,,,,
Noun,εὐδοκία,"εὐδοκία, -ας, ἡ",good pleasure,9,50,etdojia,9,,,,,,
Adjective,εὐώνυμος,"εὐώνυμος, -ον","of good name, euph. for left",9,50,etxmtlor,9,,,,,,
Verb,θνῄσκω,θνῄσκω,to die,9,50,hmgrjx,9,,,,,,
Proper Noun,Ἰσραηλίτης,"Ἰσραηλίτης, -ου, ὁ",an Israelite,9,50,irqagkisgr,9,,,,,,
Proper Noun,Ἰωνᾶς,"Ἰωνᾶς, -ᾶ, ὁ",Jonah,9,50,ixmar,9,,,,,,
Verb,καθαιρέω,καθαιρέω,"to take down, pull down",9,50,jahaiqex,9,,,,,,
Proper Noun,Καϊάφας,"Καϊάφας, -α, ὁ",Caiaphas,9,50,jaiauar,9,,,,,,
Verb,κατάγω,κατάγω,to bring down,9,50,jasacx,9,,,,,,
Noun,κατάπαυσις,"κατάπαυσις, -εως, ἡ",rest,9,50,jasapatrir,9,,,,,,
Verb,καταφρονέω,καταφρονέω,"to think little of, despise",9,50,jasauqomex,9,,,,,,
Adverb,κάτω,κάτω,"down, below",9,50,jasx,9,,,,,,
Noun,κήρυγμα,"κήρυγμα, -τος, τό",a proclamation,9,50,jgqtcla,9,,,,,,
Proper Noun,Κηφᾶς,"Κηφᾶς, -ᾶ, ὁ",Cephas,9,50,jguar,9,,,,,,
Noun,κίνδυνος,"κίνδυνος, -ου, ὁ",danger,9,50,jimdtmor,9,,,,,,
Noun,κλάσμα,"κλάσμα, -τος, τό",a broken piece,9,50,jkarla,9,,,,,,
Noun,κλαυθμός,"κλαυθμός, -οῦ, ὁ",weeping,9,50,jkathlor,9,,,,,,
Noun,κλίνη,"κλίνη, -ης, ἡ",a couch,9,50,jkimg,9,,,,,,
Verb,κραυγάζω,κραυγάζω,to cry out,9,50,jqatcafx,9,,,,,,
Verb,κρούω,κρούω,"to knock, strike",9,50,jqotx,9,,,,,,
Noun,λαμπάς,"λαμπάς, -άδος, ἡ","a torch, lamp",9,50,kalpar,9,,,,,,
Adjective,λαμπρός,"λαμπρός, -ά, -όν",bright,9,50,kalpqor,9,,,,,,
Adjective,λεπρός,"λεπρός, -οῦ, ὁ","scaly, leprous",9,50,kepqor,9,,,,,,
Noun,λέων,"λέων, -οντος, ὁ",a lion,9,50,kexm,9,,,,,,
Verb,λιθάζω,λιθάζω,"to throw stones, to stone",9,50,kihafx,9,,,,,,
Noun,μαργαρίτης,"μαργαρίτης, -ου, ὁ",a pearl,9,50,laqcaqisgr,9,,,,,,
Adjective,μεστός,"μεστός, -ή, -όν",full,9,50,lersor,9,,,,,,
Preposition,μεταξύ,μεταξύ,between (gen); after (adv),9,50,lesant,9,,,,,,
Verb,μεταπέμπομαι,μεταπέμπομαι,"to send after, summon",9,50,lesapelpolai,9,,,,,,
Noun,μνᾶ,"μνᾶ, -ᾶς, ἡ",a mina (Gr. monetary unit),9,50,lma,9,,,,,,
Adjective,μονογενής,"μονογενής, -ές","only begotten, only",9,50,lomocemgr,9,,,,,,
Noun,νῆσος,"νῆσος, -ου, ἡ",an island,9,50,mgror,9,,,,,,
Adjective,νομικός,"νομικός, -ή, -όν","pertaining to the law; one skilled in the Mosaic law, a lawyer ",9,50,molijor,9,,,,,,
Verb,οἰκέω,οἰκέω,"to inhabit, dwell, live",9,50,oijex,9,,,,,,
Noun,οἰκονομία,"οἰκονομία, -ας, ἡ","stewardship, administration",9,50,oijomolia,9,,,,,,
Verb,ὀνειδίζω,ὀνειδίζω,to reproach,9,50,omeidifx,9,,,,,,
Adjective,οὐράνιος,"οὐράνιος, -ον","heavenly, in heaven, from heaven",9,50,otqamior,9,,,,,,
Verb,παρρησιάζομαι,παρρησιάζομαι,to speak freely or boldly,9,50,paqqgriafolai,9,,,,,,
Adjective,περίχωρος,"περίχωρος, -ου, ἡ",neighboring,9,50,peqivxqor,9,,,,,,
Verb,πιπράσκω,πιπράσκω,to sell,9,50,pipqarjx,9,,,,,,
Verb,πλεονάζω,πλεονάζω,"to superabound, to make to abound",9,50,pkeomafx,9,,,,,,
Verb,προέρχομαι,προέρχομαι,"to go in front, precede",9,50,pqoeqvolai,9,,,,,,
Verb,προπέμπω,προπέμπω,"to send before, send forth",9,50,pqopelpx,9,,,,,,
Noun,προσφορά,"προσφορά, -ᾶς, ἡ",an offering,9,50,pqoruoqa,9,,,,,,
Proper Noun,Σαμαρίτης,"Σαμαρίτης, -ου, ὁ",Samaritan,9,50,ralaqisgr,9,,,,,,
Proper Noun,Σαούλ,"Σαούλ, ὁ",Saul,9,50,raotk,9,,,,,,
Noun,σελήνη,"σελήνη, -ης, ἡ",the moon,9,50,rekgmg,9,,,,,,
Proper Noun,Σιδών,"Σιδών, -ῶνος, ἡ",Sidon,9,50,ridxm,9,,,,,,
Proper Noun,Σόδομα,"Σόδομα, -ων, τό",Sodom,9,50,rodola,9,,,,,,
Noun,στάσις,"στάσις, -εως, ἡ","a standing, rebellion, dissension",9,50,rsarir,9,,,,,,
Verb,στήκω,στήκω,"to stand, stand fast",9,50,rsgjx,9,,,,,,
Noun,στολή,"στολή, -ῆς, ἡ","equipment, apparel, robe",9,50,rsokg,9,,,,,,
Noun,τάξις,"τάξις, -εως, ἡ","an arranging, order",9,50,sanir,9,,,,,,
Noun,τεῖχος,"τεῖχος, -ους, τό",a wall,9,50,seivor,9,,,,,,
Verb,τρέφω,τρέφω,"to make to grow, to nourish, feed",9,50,sqeux,9,,,,,,
Noun,ὑστέρημα,"ὑστέρημα, -τος, τό","that which is lacking, need, want",9,50,trseqgla,9,,,,,,
Proper Noun,Φῆλιξ,"Φῆλιξ, -ικος, ὁ",Felix,9,50,ugkin,9,,,,,,
Verb,φθείρω,φθείρω,"to destroy, corrupt, spoil",9,50,uheiqx,9,,,,,,
Noun,φθόνος,"φθόνος, -ου, ὁ",envy,9,50,uhomor,9,,,,,,
Noun,φθορά,"φθορά, -ᾶς, ἡ","destruction, corruption",9,50,uhoqa,9,,,,,,
Noun,φόνος,"φόνος, -ου, ὁ",a murder,9,50,uomor,9,,,,,,
Preposition,χάριν,χάριν,"in favor of, for the pleasure of (gen)",9,50,vaqim,9,,,,,,
Verb,χρηματίζω,χρηματίζω,"to instruct, reveal, answer, warn",9,50,vqglasifx,9,,,,,,
Adjective,ἁγνός,"ἁγνός, -ή, -όν","pure, holy; chaste, innocent",8,50,acmor,8,,,,,,
Verb,ἀγωνίζομαι,ἀγωνίζομαι,"to contend for a prize, struggle",8,50,acxmifolai,8,,,,,,
Adjective,ἀδόκιμος,"ἀδόκιμος, -ον","not standing the test, rejected",8,50,adojilor,8,,,,,,
Verb,αἰνέω,αἰνέω,to praise,8,50,aimex,8,,,,,,
Noun,ἀλάβαστρος,ἀλάβαστρος,vase for holding perfume or ointment,8,50,akabarsqor,8,,,,,,
Noun,ἅλας,"ἅλας, -ατος, τό",salt,8,50,akar,8,,,,,,
Adjective,ἄμωμος,"ἄμωμος, -ον",without blemish,8,50,alxlor,8,,,,,,
Adjective,ἀναγκαῖος,"ἀναγκαῖος, -α, -ον",necessary,8,50,amacjaior,8,,,,,,
Verb,ἀνακλίνω,ἀνακλίνω,"to lay upon, lay down, to lie back",8,50,amajkimx,8,,,,,,
Verb,ἀντίκειμαι,ἀντίκειμαι,"to lie opposite, i.e. oppose, withstand",8,50,amsijeilai,8,,,,,,
Verb,ἄπειμι,ἄπειμι,"to go away, depart; to be absent",8,50,apeili,8,,,,,,
Verb,ἀπεκδέχομαι,ἀπεκδέχομαι,to await eagerly,8,50,apejdevolai,8,,,,,,
Verb,ἀπιστέω,ἀπιστέω,"to disbelieve, be faithless",8,50,apirsex,8,,,,,,
Noun,ἁπλότης,"ἁπλότης, -ητος, ἡ","singleness, hence simplicity",8,50,apkosgr,8,,,,,,
Verb,ἀποκαθιστάνω,ἀποκαθιστάνω,"to restore, bring back",8,50,apojahirsamx,8,,,,,,
Noun,ἀπολογία,"ἀπολογία, -ας, ἡ",a speech in defense,8,50,apokocia,8,,,,,,
Adjective,ἀργός,"ἀργός, -ή, -όν","inactive, idle",8,50,aqcor,8,,,,,,
Verb,ἀρκέω,ἀρκέω,"to assist, suffice",8,50,aqjex,8,,,,,,
Adjective,ἄφθαρτος,"ἄφθαρτος, -ον",imperishable; immortal,8,50,auhaqsor,8,,,,,,
Noun,βάθος,"βάθος, -ους, τό",depth,8,50,bahor,8,,,,,,
Adjective,βέβαιος,"βέβαιος, -α, -ον","firm, secure",8,50,bebaior,8,,,,,,
Verb,βεβαιόω,βεβαιόω,"to confirm, secure",8,50,bebaiox,8,,,,,,
Proper Noun,Βηθλέεμ,"Βηθλέεμ, ἡ",Bethlehem,8,50,bghkeel,8,,,,,,
Verb,βοηθέω,βοηθέω,to come to the aid of,8,50,boghex,8,,,,,,
Noun,βοῦς,"βοῦς, -βοός, ὁ","an ox, a cow",8,50,botr,8,,,,,,
Noun,βρέφος,"βρέφος, -ους, τό","an unborn or a newborn child, baby",8,50,bqeuor,8,,,,,,
Verb,γεμίζω,γεμίζω,to fill,8,50,celifx,8,,,,,,
Verb,γογγύζω,γογγύζω,"to mutter, murmur",8,50,cocctfx,8,,,,,,
Proper Noun,Γόμορρα,"Γόμορρα, -ας, ἡ",Gomorrah,8,50,coloqqa,8,,,,,,
Noun,δάκτυλος,"δάκτυλος, -ου, ὁ",a finger,8,50,dajstkor,8,,,,,,
Adjective,διακόσιοι,"διακόσιοι, -αι, -α",two hundred,8,50,diajorioi,8,,,,,,
Verb,διανοίγω,διανοίγω,to open up completely,8,50,diamoicx,8,,,,,,
Verb,διαστέλλω,διαστέλλομαι,"to set apart, fig. to distinguish, to charge expressly",8,50,diarsekkx,8,,,,,,
Verb,διασῴζω,διασῴζω,"to bring safely through (a danger), to save thoroughly",8,50,diarxfx,8,,,,,,
Verb,διηγέομαι,διηγέομαι,to relate fully,8,50,digceolai,8,,,,,,
Verb,δουλόω,δουλόω,"to enslave, bring under subjection",8,50,dotkox,8,,,,,,
Noun,δρέπανον,"δρέπανον, -ου, τό","a sickle, a pruning hook",8,50,dqepamom,8,,,,,,
Verb,εἰσφέρω,εἰσφέρω,"to carry inward, bring in",8,50,eirueqx,8,,,,,,
Preposition,ἐκτός,ἐκτός,"aside from, besides, outside (gen)",8,50,ejsor,8,,,,,,
Verb,ἐκφέρω,ἐκφέρω,"to carry out, bring forth",8,50,ejueqx,8,,,,,,
Verb,ἐκφεύγω,ἐκφεύγω,to flee away,8,50,ejuetcx,8,,,,,,
Verb,ἕλκω,ἕλκω,to drag,8,50,ekjx,8,,,,,,
Adjective,ἐναντίος,"ἐναντίος, -α, -ον","opposite, hostile, opposed, contrary",8,50,emamsior,8,,,,,,
Noun,ἔνδυμα,"ἔνδυμα, -τος, τό",apparel (esp. the outer robe),8,50,emdtla,8,,,,,,
Noun,ἐνέργεια,"ἐνέργεια, -ας, ἡ",operative power,8,50,emeqceia,8,,,,,,
Adverb,ἐνθάδε,ἐνθάδε,"within, here, hither",8,50,emhade,8,,,,,,
Verb,ἐξαιρέω,ἐξαιρέω,"to take out, to deliver",8,50,enaiqex,8,,,,,,
Verb,ἐπιλανθάνομαι,ἐπιλανθάνομαι,"to forget, neglect",8,50,epikamhamolai,8,,,,,,
Verb,ἐπισυνάγω,ἐπισυνάγω,"gather, gather together",8,50,epirtmacx,8,,,,,,
Verb,ἐραυνάω,ἐραυνάω,"to search, examine, inquire",8,50,eqatmax,8,,,,,,
