type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Pronoun,οὐδείς,"οὐδείς, οὐδεμία, οὐδέν","no one, none, nothing, no",234,50,otdeir,50-100,,,,,,
Adjective,ἅγιος,"ἅγιος, -α, -ον",holy; saints (plural noun),233,50,acior,50-100,,,,,,
Verb,ἀποκρίνομαι,ἀποκρίνομαι,to answer,231,50,apojqimolai,50-100,,,,,,
Preposition,ὑπό,ὑπό,by (gen); under (acc),220,50,tpo,50-100,,,,,,
Verb,ἐξέρχομαι,ἐξέρχομαι,"to go out, come out",218,50,eneqvolai,50-100,,,,,,
Noun,ἀνήρ,"ἀνήρ, ἀνδρός, ὁ","a man, husband",216,50,amgq,50-100,,,,,,
Noun,γυνή,"γυνή, -αικός, ἡ","a woman, wife",215,50,ctmg,50-100,,,,,,
Conjunction,τέ,τέ,and (enclitic weak connective particle),215,50,se,50-100,,,,,,
Verb,δύναμαι,δύναμαι,"to be powerful, able",210,50,dtmalai,50-100,,,,,,
Verb,θέλω,θέλω,"to will, wish, desire",208,50,hekx,50-100,,,,,,
Adverb,οὕτως,"οὕτω, οὕτως",thus,208,50,otsx,50-100,,,,,,
Particle,ἰδού,ἰδού,See! Behold! Look! Lo!,200,50,idot,50-100,,,,,,
Adjective,ἰουδαῖος,"Ἰουδαῖος, -α, -ον","Jewish, a Jew, Judea",195,50,iotdaior,50-100,,,,,,
Verb,εἰσέρχομαι,εἰσέρχομαι,"to go or come in or into, enter",194,50,eireqvolai,50-100,,,,,,
Noun,νόμος,"νόμος, -ου, ὁ","a law, the Law",194,50,molor,50-100,,,,,,
Preposition,παρά,παρά,"from (gen); beside, in the presence of (dat); alongside of (acc)",194,50,paqa,50-100,,,,,,
Verb,γράφω,γράφω,to write,191,50,cqaux,50-100,,,,,,
Noun,κόσμος,"κόσμος, -ου, ὁ",the world,186,50,jorlor,50-100,,,,,,
Conjunction,καθώς,καθώς,"as, just as, even as",182,50,jahxr,50-100,,,,,,
Particle,μέν,μέν,"on the one hand, indeed (postpositive particle often untranslated)",179,50,lem,50-100,,,,,,
Noun,χείρ,"χείρ, χειρός, ἡ",a hand,177,50,veiq,50-100,,,,,,
Verb,εὑρίσκω,εὑρίσκω,to find,176,50,etqirjx,50-100,,,,,,
Noun,ἄγγελος,"ἄγγελος, -ου, ὁ",an angel,175,50,accekor,50-100,,,,,,
Noun,ὄχλος,"ὄχλος, -ου, ὁ","a crowd, multitude",175,50,ovkor,50-100,,,,,,
Noun,ἁμαρτία,"ἁμαρτία, -ας, ἡ","a sin, sin",173,50,alaqsia,50-100,,,,,,
Noun,ἔργον,"ἔργον, -ου, τό","work, deed",169,50,eqcom,50-100,,,,,,
Particle,ἄν,ἄν,untranslatable particle - makes a statement contingent,166,50,am,50-100,,,,,,
Noun,δόξα,"δόξα, -ης, ἡ",glory,166,50,dona,50-100,,,,,,
Noun,πόλις,"πόλις, -εως, ἡ",a city,163,50,pokir,50-100,,,,,,
Noun,βασιλεία,"βασιλεία, -ας, ἡ",a kingdom,162,50,barikeia,50-100,,,,,,
Noun,ἔθνος,"ἔθνος, -ους, τό",a nation; Gentiles (plural),162,50,ehmor,50-100,,,,,,
Preposition,ἕως,ἕως,until; as far as (gen),160,50,exr,50-100,,,,,,
Adverb,τότε,τότε,"then, at that time",160,50,sose,50-100,,,,,,
Adverb,πρῶτος,"πρῶτος, -η, -ον",first,159,50,pqxsor,50-100,,,,,,
Proper Noun,Παῦλος,"Παῦλος, -ου, ὁ",Paul,158,50,patkor,50-100,,,,,,
Verb,ἐσθίω,ἐσθίω,to eat,157,50,erhix,50-100,,,,,,
Noun,καρδία,"καρδία, -ας, ἡ",the heart,156,50,jaqdia,50-100,,,,,,
Proper Noun,Πέτρος,"Πέτρος, -ου, ὁ",Peter,156,50,pesqor,50-100,,,,,,
Adjective,ἄλλος,"ἄλλος, -η, -ο","other, another",155,50,akkor,50-100,,,,,,
Verb,ἵστημι,ἵστημι,"to cause to stand, stand",155,50,irsgli,50-100,,,,,,
Noun,χάρις,"χάρις, -ιτος, ἡ",grace,155,50,vaqir,50-100,,,,,,
Verb,πορεύομαι,πορεύομαι,"to go, proceed",153,50,poqetolai,50-100,,,,,,
Verb,φημί,φημί,to say,152,50,ugli,50-100,,,,,,
Preposition,ὑπέρ,ὑπέρ,in behalf of (gen); above (acc),150,50,tpeq,50-100,,,,,,
Verb,καλέω,καλέω,"to call, name invite",148,50,jakex,50-100,,,,,,
Verb,ἀγαπάω,ἀγαπάω,to love ,147,50,acapax,50-100,,,,,,
Adverb,νῦν,νῦν,now,147,50,mtm,50-100,,,,,,
Noun,σάρξ,"σάρξ, σαρκός, ἡ",flesh,147,50,raqn,50-100,,,,,,
Verb,ἐγείρω,ἐγείρω,to raise up,144,50,eceiqx,50-100,,,,,,
Pronoun,ὅστις,"ὅστις, ἥτις, ὅτι","whoever, whichever, whatever",144,50,orsir,50-100,,,,,,
Noun,προφήτης,"προφήτης, -ου, ὁ",a prophet,144,50,pqougsgr,50-100,,,,,,
Verb,ἀφίημι,ἀφίημι,"to let go, permit, forgive",143,50,auigli,50-100,,,,,,
Conjunction,οὐδέ,οὐδέ,"and not, not even, neither, nor",143,50,otde,50-100,,,,,,
Noun,λαός,"λαός, -οῦ, ὁ",a people,142,50,kaor,50-100,,,,,,
Noun,σῶμα,"σῶμα, -τος, τό",a body,142,50,rxla,50-100,,,,,,
Adverb,πάλιν,πάλιν,again,141,50,pakim,50-100,,,,,,
Verb,ζάω,ζάω,to live,140,50,fax,50-100,,,,,,
Noun,φωνή,"φωνή, -ῆς, ἡ","a sound, voice",139,50,uxmg,50-100,,,,,,
Verb,βλέπω,βλέπω,to see,136,50,bkepx,50-100,,,,,,
Adjective,δύο,δύο,two,135,50,dto,50-100,,,,,,
Noun,ζωή,"ζωή, -ῆς, ἡ",life,135,50,fxg,50-100,,,,,,
Proper Noun,Ἰωάννης,"Ἰωάννης, -ου, ὁ",John,135,50,ixammgr,50-100,,,,,,
Verb,ἀποστέλλω,ἀποστέλλω,to send,132,50,aporsekkx,50-100,,,,,,
Adjective,ἀγαθός,"ἀγαθός, -ή, -όν",good,131,50,acahor,50-100,,,,,,
Adjective,νεκρός,"νεκρός, -ά, -όν",dead,130,50,mejqor,50-100,,,,,,
Particle,ἀμήν,ἀμήν,"verily, truly, amen",129,50,algm,50-100,,,,,,
Preposition,σύν,σύν,with (dat),128,50,rtm,50-100,,,,,,
Noun,δοῦλος,"δοῦλος, -η, -ον",a slave,126,50,dotkor,50-100,,,,,,
Conjunction,ὅταν,ὅταν,whenever,123,50,osam,50-100,,,,,,
Noun,αἰών,"αἰών, -ῶνος, ὁ",an age,122,50,aixm,50-100,,,,,,
Noun,ἀρχιερεύς,"ἀρχιερεύς, -έως, ὁ","chief priest, high priest",122,50,aqvieqetr,50-100,,,,,,
Verb,βάλλω,βάλλω,"to throw, put, cast",122,50,bakkx,50-100,,,,,,
Noun,θάνατος,"θάνατος, -ου, ὁ",death,120,50,hamasor,50-100,,,,,,
Verb,μένω,μένω,"to remain, abide",120,50,lemx,50-100,,,,,,
Noun,δύναμις,"δύναμις, -εως, ἡ",power,119,50,dtmalir,50-100,,,,,,
Verb,παραδίδωμι,παραδίδωμι,"to hand over, betray",119,50,paqadidxli,50-100,,,,,,
Verb,κρίνω,κρίνω,"to judge, decide",118,50,jqimx,50-100,,,,,,
Verb,ἀπέρχομαι,ἀπέρχομαι,"to depart, go away",117,50,apeqvolai,50-100,,,,,,
Verb,ζητέω,ζητέω,to seek,117,50,fgsex,50-100,,,,,,
Adverb,μόνος,"μόνος, -η, -ον","alone, only",117,50,lomor,50-100,,,,,,
Noun,ἀγάπη,"ἀγάπη, -ης, ἡ",love,116,50,acapg,50-100,,,,,,
Noun,βασιλεύς,"βασιλεύς, -έως, ὁ",a king,115,50,bariketr,50-100,,,,,,
Noun,ἐκκλησία,"ἐκκλησία, -ας, ἡ","assembly, congregation, church",114,50,ejjkgria,50-100,,,,,,
Adjective,ἴδιος,"ἴδιος, -α, -ον",one's own,114,50,idior,50-100,,,,,,
Noun,οἶκος,"οἶκος, -ου, ὁ","a house, home",114,50,oijor,50-100,,,,,,
Verb,ἀποθνῄσκω,ἀποθνῄσκω,to die,111,50,apohmgrjx,50-100,,,,,,
Verb,ἀνίστημι,ἀνίστημι,"to cause to arise, arise",110,50,amirsgli,50-100,,,,,,
Pronoun,ὅσος,"ὅσος, -η, -ον","as great as, as many as",110,50,oror,50-100,,,,,,
Noun,ἀλήθεια,"ἀλήθεια, -ας, ἡ",truth,109,50,akgheia,50-100,,,,,,
Verb,μέλλω,μέλλω,to be about to,109,50,lekkx,50-100,,,,,,
Adjective,ὅλος,"ὅλος, -η, -ον","whole, all",109,50,okor,50-100,,,,,,
Verb,παρακαλέω,παρακαλέω,"to beseech, urge, exhort, comfort",109,50,paqajakex,50-100,,,,,,
Verb,σῴζω,σῴζω,to save,108,50,rxfx,50-100,,,,,,
Noun,ὥρα,"ὥρα, -ας, ἡ",an hour,106,50,xqa,50-100,,,,,,
Conjunction,ὅτε,ὅτε,when,103,50,ose,50-100,,,,,,
Adverb,πῶς,πῶς,how?,103,50,pxr,50-100,,,,,,
Noun,ψυχή,"ψυχή, -ῆς, ἡ","soul, life, self",103,50,wtvg,50-100,,,,,,
Noun,ἐξουσία,"ἐξουσία, -ας, ἡ",authority,102,50,enotria,50-100,,,,,,
Adjective,καλός,"καλός, -ή, -όν",good,102,50,jakor,50-100,,,,,,
